id,url,label,date,authority_uri,note,text_units
festaSanPancrazio,https://statutiascoli.it/calendario.html?id=festaSanPancrazio,San Pancrazio,--05-12,https://www.wikidata.org/wiki/Q336731,"Martire a Roma, †304",id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSanVenanzio,https://statutiascoli.it/calendario.html?id=festaSanVenanzio,San Venanzio,--05-18,https://www.wikidata.org/wiki/Q4210004,"Martire a Camerino, III sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSantaPetronilla,https://statutiascoli.it/calendario.html?id=festaSantaPetronilla,Santa Petronilla,--05-31,https://www.wikidata.org/wiki/Q463600,"Martire e pretesa figlia di s. Pietro, I sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41
festaSantOnofrio,https://statutiascoli.it/calendario.html?id=festaSantOnofrio,Sant'Onofrio,--06-12,https://www.wikidata.org/wiki/Q464959,Anacoreta del IV sec.,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSanGiovanniBattista,https://statutiascoli.it/calendario.html?id=festaSanGiovanniBattista,San Giovanni Battista,--06-24,https://www.wikidata.org/wiki/Q40662,Precursore di Cristo.,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSantaMargherita,https://statutiascoli.it/calendario.html?id=festaSantaMargherita,Santa Margherita,--07-20,https://www.wikidata.org/wiki/Q297742,"Vergine e martire ad Antiochia, fine del III sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSantaMariaMaddalena,https://statutiascoli.it/calendario.html?id=festaSantaMariaMaddalena,Santa Maria Maddalena,--07-22,https://www.wikidata.org/wiki/Q63070,"Discepola di Gesù, I sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSantEmidio,https://statutiascoli.it/calendario.html?id=festaSantEmidio,Sant'Emidio,--08-05,https://www.wikidata.org/wiki/Q260816,"Vescovo e martire, IV sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statCom_libro3_rubrica70; url=https://statutiascoli.it/statuti.html?id=1_3_71 | id=statPop_libro1_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_1_3 | id=statPop_libro1_rubrica76; url=https://statutiascoli.it/statuti.html?id=2_1_77 | id=statPop_libro2_indice; url=https://statutiascoli.it/statuti.html?id=2_2_0 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica10; url=https://statutiascoli.it/statuti.html?id=2_2_11 | id=statPop_libro2_rubrica12; url=https://statutiascoli.it/statuti.html?id=2_2_13 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica3; url=https://statutiascoli.it/statuti.html?id=2_2_4 | id=statPop_libro2_rubrica5; url=https://statutiascoli.it/statuti.html?id=2_2_6 | id=statPop_libro2_rubrica6; url=https://statutiascoli.it/statuti.html?id=2_2_7
festaSantoSalvatore,https://statutiascoli.it/calendario.html?id=festaSantoSalvatore,Santo Salvatore,--08-06,https://www.wikidata.org/wiki/Q201201,Giorno della trasfigurazione di Gesù Cristo sul Monte Tabor.,id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSanDomenico,https://statutiascoli.it/calendario.html?id=festaSanDomenico,San Domenico,--08-08,https://www.wikidata.org/wiki/Q44091,"Domenico di Guzmán, fondatore dell'ordine dei predicatori, †06/08/1221",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_indice; url=https://statutiascoli.it/statuti.html?id=2_2_0 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica10; url=https://statutiascoli.it/statuti.html?id=2_2_11
festaSanLorenzo,https://statutiascoli.it/calendario.html?id=festaSanLorenzo,San Lorenzo,--08-10,https://www.wikidata.org/wiki/Q17590,"Arcidiacono di Roma e martire, †258",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
